,LEA Code,LEA Name,School Code,School Name,Entity Type,Ward,Student Group,Grade,Percent Enrolled,Enrollment Count,Total Count of Students,Total Per-Pupil Expenditure,School Expenditures: State/Local,School Expenditures: Federal,Total School Level Expenditure,School Level: State/Local,School Level: Federal,Centralized Expenditures,Centralized Expenditures: State/Local,Centralized Expenditures: Federal,id
106,001,District of Columbia Public Schools,464,H.D. Woodson High School,DCPS,7,At-Risk,All,69.0,,541.0,27226,23825,3401,20351.0,18447.0,1903.0,6875.0,5377.0,1498.0,464H.D. Woodson High School
107,001,District of Columbia Public Schools,466,School Without Walls High School,DCPS,2,At-Risk,All,10.0,,597.0,16893,14493,2400,10018.0,9116.0,903.0,6875.0,5377.0,1498.0,466School Without Walls High School
108,001,District of Columbia Public Schools,467,Dunbar High School,DCPS,5,At-Risk,All,65.0,,738.0,20005,17420,2585,13130.0,12043.0,1087.0,6875.0,5377.0,1498.0,467Dunbar High School
109,001,District of Columbia Public Schools,471,Duke Ellington School of the Arts,DCPS,2,At-Risk,All,26.0,,579.0,16176,14656,1520,9301.0,9278.0,23.0,6875.0,5377.0,1498.0,471Duke Ellington School of the Arts
110,001,District of Columbia Public Schools,474,Washington Metropolitan High School,DCPS (Alternative),1,At-Risk,All,90.0,,189.0,39233,35602,3631,32358.0,30225.0,2133.0,6875.0,5377.0,1498.0,474Washington Metropolitan High School
111,001,District of Columbia Public Schools,478,"Phelps Architecture, Construction and Engineering High School",DCPS,5,At-Risk,All,51.0,,270.0,24828,22284,2544,17953.0,16907.0,1047.0,6875.0,5377.0,1498.0,"478Phelps Architecture, Construction and Engineering High School"
112,001,District of Columbia Public Schools,884,Luke C. Moore High School,DCPS (Alternative),5,At-Risk,All,93.0,,386.0,19609,17103,2506,12734.0,11726.0,1009.0,6875.0,5377.0,1498.0,884Luke C. Moore High School
113,103,AppleTree Early Learning PCS,1069,AppleTree Early Learning Center PCS - Parklands at THEARC,Charter,8,At-Risk,All,69.0,,94.0,22693,20259,2434,19348.0,17285.0,2063.0,3346.0,2974.0,371.0,1069AppleTree Early Learning Center PCS - Parklands at THEARC
114,103,AppleTree Early Learning PCS,1137,AppleTree Early Learning Center PCS - Oklahoma Avenue,Charter,7,At-Risk,All,48.0,,161.0,21897,19832,2064,18551.0,16858.0,1693.0,3346.0,2974.0,371.0,1137AppleTree Early Learning Center PCS - Oklahoma Avenue
115,103,AppleTree Early Learning PCS,140,AppleTree Early Learning Center PCS - Columbia Heights,Charter,1,At-Risk,All,34.0,,176.0,20263,18600,1663,16917.0,15626.0,1291.0,3346.0,2974.0,371.0,140AppleTree Early Learning Center PCS - Columbia Heights
116,103,AppleTree Early Learning PCS,3072,AppleTree Early Learning Center PCS - Douglas Knoll,Charter,8,At-Risk,All,80.0,,91.0,19798,17403,2396,16453.0,14429.0,2024.0,3346.0,2974.0,371.0,3072AppleTree Early Learning Center PCS - Douglas Knoll
117,103,AppleTree Early Learning PCS,3073,AppleTree Early Learning Center PCS - Lincoln Park,Charter,6,At-Risk,All,24.0,,66.0,25514,23990,1524,22169.0,21016.0,1153.0,3346.0,2974.0,371.0,3073AppleTree Early Learning Center PCS - Lincoln Park
118,107,Bridges PCS,142,Bridges PCS,Charter,5,At-Risk,All,36.0,,426.0,29446,27425,2021,,,,,,,142Bridges PCS
119,108,Capital City PCS,1207,Capital City PCS - High School,Charter,4,At-Risk,All,43.0,,340.0,26679,24961,1719,21687.0,20022.0,1665.0,4992.0,4938.0,54.0,1207Capital City PCS - High School
120,108,Capital City PCS,182,Capital City PCS - Middle School,Charter,4,At-Risk,All,29.0,,337.0,25724,24066,1657,20910.0,19305.0,1605.0,4814.0,4761.0,52.0,182Capital City PCS - Middle School
121,108,Capital City PCS,184,Capital City PCS - Lower School,Charter,4,At-Risk,All,35.0,,330.0,27671,25888,1783,22493.0,20766.0,1726.0,5178.0,5122.0,56.0,184Capital City PCS - Lower School
122,109,Cesar Chavez PCS for Public Policy,102,Cesar Chavez PCS for Public Policy - Parkside Middle School,Charter,7,At-Risk,All,75.0,,133.0,27908,26231,1678,26083.0,24579.0,1504.0,1826.0,1652.0,174.0,102Cesar Chavez PCS for Public Policy - Parkside Middle School
123,109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez PCS for Public Policy - Parkside High School,Charter,7,At-Risk,All,66.0,,360.0,28872,26204,2668,25912.0,23581.0,2331.0,2959.0,2623.0,337.0,109Cesar Chavez PCS for Public Policy - Parkside High School
